COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,DISEASE,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
48037,TX,Psychiatry,Mental Health Disorders,3,477,1659.0
48037,TX,Pulmonary,Respiratory Disease,1,369,4133.0
48037,TX,Rheumatology,Arthritis,1,319,95156.0
48039,TX,Cardiology,Heart Disease,12,5632,34919.0
48039,TX,Endocrinology,Diabetes,3,926,6185.0
48039,TX,Oncology,Cancer,4,426,288936.5
48039,TX,Internal Medicine,General Medicine Conditions,70,13889,88771.0
48039,TX,Neurology,Neurological Disorders,20,3783,36494.0
48039,TX,Psychiatry,Mental Health Disorders,12,802,4668.0
48039,TX,Pulmonary,Respiratory Disease,4,822,2297.0
48039,TX,Rheumatology,Arthritis,4,355,51309.0
48041,TX,Cardiology,Heart Disease,9,7373,72661.0
48041,TX,Endocrinology,Diabetes,2,446,1723.0
48041,TX,Oncology,Cancer,2,1033,292460.0
48041,TX,Internal Medicine,General Medicine Conditions,59,14559,248250.0
48041,TX,Neurology,Neurological Disorders,1,376,2920.0
48041,TX,Psychiatry,Mental Health Disorders,8,193,1278.0
48041,TX,Pulmonary,Respiratory Disease,6,2581,5337.0
48041,TX,Rheumatology,Arthritis,2,921,549291.5
48049,TX,Cardiology,Heart Disease,1,2229,6964.0
48049,TX,Oncology,Cancer,2,207,504.0
48049,TX,Internal Medicine,General Medicine Conditions,15,5251,25844.0
48051,TX,Cardiology,Heart Disease,3,3341,7267.0
48051,TX,Endocrinology,Diabetes,1,0,0.0
48051,TX,Oncology,Cancer,2,571,1918.0
48051,TX,Internal Medicine,General Medicine Conditions,6,1574,5234.0
48051,TX,Pulmonary,Respiratory Disease,2,777,1669.0
48051,TX,Rheumatology,Arthritis,2,141,329.0
48053,TX,Cardiology,Heart Disease,2,3120,7827.0
48053,TX,Endocrinology,Diabetes,2,1049,2058.0
48053,TX,Oncology,Cancer,2,799,3768.0
48053,TX,Internal Medicine,General Medicine Conditions,16,3941,14972.0
48053,TX,Neurology,Neurological Disorders,5,1388,2832.0
48053,TX,Psychiatry,Mental Health Disorders,2,27,710.0
48053,TX,Rheumatology,Arthritis,1,150,583.0
48055,TX,Internal Medicine,General Medicine Conditions,5,684,2181.0
48057,TX,Internal Medicine,General Medicine Conditions,2,275,1808.0
48061,TX,Cardiology,Heart Disease,20,10791,57488.0
48061,TX,Endocrinology,Diabetes,4,809,3143.0
48061,TX,Oncology,Cancer,3,1316,288462.0
48061,TX,Internal Medicine,General Medicine Conditions,87,12316,172388.5
48061,TX,Neurology,Neurological Disorders,15,2080,7124.0
48061,TX,Psychiatry,Mental Health Disorders,11,546,2452.0
48061,TX,Pulmonary,Respiratory Disease,6,1931,10938.0
