COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
02290,AK,PSYCHIATRY,12,286,1523.0
04001,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,12,13.0
04001,AZ,INTERNAL MEDICINE,24,2688,6712.0
04001,AZ,PSYCHIATRY,6,159,701.0
04001,AZ,PULMONARY DISEASE,1,0,0.0
04003,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),7,4773,22262.0
04003,AZ,HEMATOLOGY/ONCOLOGY,3,1314,779277.0
04003,AZ,INTERNAL MEDICINE,22,5827,38720.0
04003,AZ,NEUROLOGY,2,432,5698.0
04003,AZ,PSYCHIATRY,2,233,2349.0
04003,AZ,PULMONARY DISEASE,2,357,1246.0
04003,AZ,RHEUMATOLOGY,1,56,143.0
04005,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),6,8964,21797.0
04005,AZ,ENDOCRINOLOGY,1,365,1086.0
04005,AZ,HEMATOLOGY/ONCOLOGY,4,891,147756.0
04005,AZ,INTERNAL MEDICINE,57,13019,60832.0
04005,AZ,NEUROLOGY,8,1822,20398.0
04005,AZ,PSYCHIATRY,16,321,2838.0
04005,AZ,PULMONARY DISEASE,3,616,1934.0
04007,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,5148,20514.0
04007,AZ,HEMATOLOGY/ONCOLOGY,2,334,734.0
04007,AZ,INTERNAL MEDICINE,14,1607,44533.0
04007,AZ,NEUROLOGY,1,808,2972.0
04007,AZ,PSYCHIATRY,3,382,1178.0
04009,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),7,6377,22426.0
04009,AZ,ENDOCRINOLOGY,1,40,124.0
04009,AZ,HEMATOLOGY/ONCOLOGY,1,200,683.0
04009,AZ,INTERNAL MEDICINE,10,1435,4298.0
04009,AZ,NEUROLOGY,3,988,51242.0
04009,AZ,PSYCHIATRY,2,203,826.0
04009,AZ,PULMONARY DISEASE,1,597,2426.0
04009,AZ,RHEUMATOLOGY,1,328,716.0
04011,AZ,PSYCHIATRY,1,19,53.0
04012,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),2,243,1407.0
04012,AZ,HEMATOLOGY/ONCOLOGY,1,95,189.0
04012,AZ,INTERNAL MEDICINE,6,881,2380.0
04012,AZ,PSYCHIATRY,1,14,21.0
04013,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),266,209300,907113.0
04013,AZ,ENDOCRINOLOGY,82,30614,495200.0
04013,AZ,HEMATOLOGY/ONCOLOGY,168,61277,9391168.0
04013,AZ,INTERNAL MEDICINE,1362,352338,2394075.5
04013,AZ,NEUROLOGY,274,77371,1592538.5
04013,AZ,PSYCHIATRY,296,14428,87670.0
04013,AZ,PULMONARY DISEASE,143,66990,262890.0
04013,AZ,RHEUMATOLOGY,47,24094,5955338.0
04015,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),17,13667,52446.0
04015,AZ,ENDOCRINOLOGY,1,361,564.0
04015,AZ,HEMATOLOGY/ONCOLOGY,5,1673,422568.0
