COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score,anomaly_type
12109,Florida,ENDOCRINOLOGY,96458,1,167,1378.0,96458.0,18070.0,22988.768286620067,5.338018815716658,CRITICAL GAP,29.06,12109|ENDOCRINOLOGY,0.0103672064525492,8.202380952380953,True,-1,-0.0040124683943004,shortage_anomaly
12127,Florida,RHEUMATOLOGY,123686,4,1744,1257563.0,30921.5,10453.0,13315.598760659872,2.958145986798048,CRITICAL GAP,16.11,12127|RHEUMATOLOGY,0.0323399576346555,720.6664756446992,True,-1,-0.0758658594337904,shortage_anomaly
13015,Georgia,RHEUMATOLOGY,22723,1,466,56332.0,22723.0,10453.0,13315.598760659872,2.173825695972448,CRITICAL GAP,11.84,13015|RHEUMATOLOGY,0.0440082735554284,120.62526766595288,True,-1,-0.00664388243153,shortage_anomaly
13051,Georgia,RHEUMATOLOGY,58596,2,1206,226744.0,29298.0,10453.0,13315.598760659872,2.802831722950349,CRITICAL GAP,15.26,13051|RHEUMATOLOGY,0.034132022663663,187.85749792874896,True,-1,-0.032624808960906,shortage_anomaly
13069,Georgia,RHEUMATOLOGY,8933,1,321,116368.6,8933.0,10453.0,13315.598760659872,0.8545871998469339,MODERATE GAP,4.65,13069|RHEUMATOLOGY,0.1119444755401321,361.3931677018634,True,-1,-0.0156177117915291,shortage_anomaly
13127,Georgia,RHEUMATOLOGY,18322,1,722,206269.0,18322.0,10453.0,13315.598760659872,1.7527982397397877,HIGH GAP,9.54,13127|RHEUMATOLOGY,0.0545791944110904,285.2959889349931,True,-1,-0.0270084048632789,shortage_anomaly
13151,Georgia,RHEUMATOLOGY,45244,2,347,51328.0,22622.0,10453.0,13315.598760659872,2.1641633980675405,CRITICAL GAP,11.78,13151|RHEUMATOLOGY,0.044204756431792,147.49425287356323,True,-1,-0.0048316611626832,shortage_anomaly
13185,Georgia,RHEUMATOLOGY,22129,1,1591,183639.0,22129.0,10453.0,13315.598760659872,2.116999904333684,CRITICAL GAP,11.53,13185|RHEUMATOLOGY,0.0451895702471869,115.35113065326634,True,-1,-0.0046286331707077,shortage_anomaly
13217,Georgia,ENDOCRINOLOGY,50689,1,0,0.0,50689.0,18070.0,22988.768286620067,2.805146651909242,CRITICAL GAP,15.27,13217|ENDOCRINOLOGY,0.0197281461461066,0.0,True,-1,-0.0161221712694928,shortage_anomaly
13313,Georgia,ENDOCRINOLOGY,40347,1,0,0.0,40347.0,18070.0,22988.768286620067,2.2328168234643053,CRITICAL GAP,12.16,13313|ENDOCRINOLOGY,0.0247849902099288,0.0,True,-1,-0.0063670636988606,shortage_anomaly
15001,Hawaii,ENDOCRINOLOGY,63357,1,0,0.0,63357.0,18070.0,22988.768286620067,3.506198118428334,CRITICAL GAP,19.09,15001|ENDOCRINOLOGY,0.0157835756112189,0.0,True,-1,-0.0216862023574789,shortage_anomaly
