COUNTY_FIPS,PRIMARY SPECIALTY,avg_distance_to_provider,min_distance_to_provider,provider_count_in_county
05031,ENDOCRINOLOGY,1.3343314887848314,1.3343314887848314,1
05031,HEMATOLOGY/ONCOLOGY,1.3343064781304421,1.3342314461672742,4
05031,NEUROLOGY,1.334317196982323,1.3342314461672742,7
05031,PSYCHIATRY,1.3342814674760528,1.3342314461672742,14
05033,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
05033,NEUROLOGY,0.0,0.0,3
05035,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,3
05035,PSYCHIATRY,0.0,0.0,2
05037,PSYCHIATRY,0.0,0.0,1
05043,PSYCHIATRY,0.0,0.0,2
05043,PULMONARY DISEASE,0.0,0.0,1
05045,CARDIOVASCULAR DISEASE (CARDIOLOGY),4.018956647741782,4.018797411533208,3
05045,ENDOCRINOLOGY,4.0191158839503585,4.018797411533208,3
05045,HEMATOLOGY/ONCOLOGY,4.019275120158933,4.019275120158933,1
05045,NEUROLOGY,4.019275120158933,4.019275120158933,2
05045,PSYCHIATRY,4.019275120158933,4.019275120158933,5
05045,RHEUMATOLOGY,4.019275120158933,4.019275120158933,2
05051,CARDIOVASCULAR DISEASE (CARDIOLOGY),2.238847003543268,2.238609536915476,8
05051,ENDOCRINOLOGY,2.2388809273472385,2.2388809273472385,1
05051,NEUROLOGY,2.2387904638699845,2.238609536915476,3
05051,PSYCHIATRY,2.2387452321313575,2.238609536915476,4
05051,PULMONARY DISEASE,2.238826649260886,2.238609536915476,5
05055,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
05055,NEUROLOGY,0.0,0.0,1
05059,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
05059,PSYCHIATRY,0.0,0.0,1
05061,PSYCHIATRY,0.0,0.0,1
05063,NEUROLOGY,0.0,0.0,2
05063,PSYCHIATRY,0.0,0.0,3
05063,PULMONARY DISEASE,0.0,0.0,1
05063,RHEUMATOLOGY,0.0,0.0,1
05067,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
05069,CARDIOVASCULAR DISEASE (CARDIOLOGY),5.182318881484359,5.182318881484359,4
05069,ENDOCRINOLOGY,5.182318881484359,5.182318881484359,1
05069,HEMATOLOGY/ONCOLOGY,5.182318881484359,5.182318881484359,2
05069,NEUROLOGY,5.182318881484359,5.182318881484359,4
05069,PSYCHIATRY,5.182318881484359,5.182318881484359,1
05069,PULMONARY DISEASE,5.182318881484359,5.182318881484359,1
05069,RHEUMATOLOGY,5.182318881484359,5.182318881484359,1
05071,PSYCHIATRY,0.0,0.0,1
05085,PSYCHIATRY,0.0,0.0,1
05085,RHEUMATOLOGY,0.0,0.0,1
05091,PSYCHIATRY,0.0,0.0,1
05103,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
05103,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
05115,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,3
05115,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
05115,PSYCHIATRY,0.0,0.0,1
05123,PSYCHIATRY,0.0,0.0,1
05123,PULMONARY DISEASE,0.0,0.0,1
05125,CARDIOVASCULAR DISEASE (CARDIOLOGY),2.8569873379463573,2.8566238487292717,3
05125,PSYCHIATRY,2.8571690825549,2.8571690825549,5
05131,HEMATOLOGY/ONCOLOGY,1.204670595889177,0.9867502082867669,5
05131,NEUROLOGY,2.4581554269085824,0.9867502082867669,8
05131,PSYCHIATRY,1.7578491686507896,0.9867502082867669,7
05133,PSYCHIATRY,0.0,0.0,1
05137,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
05139,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,2
05143,CARDIOVASCULAR DISEASE (CARDIOLOGY),6.892653911184328,3.7666504200040394,7
05143,ENDOCRINOLOGY,7.413654493047711,7.41365449304771,3
05143,HEMATOLOGY/ONCOLOGY,6.222239474021272,4.633686115319355,7
05143,NEUROLOGY,6.8576608175020395,4.633686115319355,10
05143,PSYCHIATRY,6.778477706543608,3.7666504200040394,12
05143,PULMONARY DISEASE,7.117953476838522,4.456644330955836,10
05143,RHEUMATOLOGY,7.41365449304771,7.41365449304771,1
05145,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
05145,HEMATOLOGY/ONCOLOGY,0.0,0.0,2
05145,NEUROLOGY,0.0,0.0,2
05145,PSYCHIATRY,0.0,0.0,7
05145,PULMONARY DISEASE,0.0,0.0,2
05145,RHEUMATOLOGY,0.0,0.0,1
06001,CARDIOVASCULAR DISEASE (CARDIOLOGY),11.78366112444257,2.4458047389619355,67
06001,ENDOCRINOLOGY,12.07456773616545,2.4458047389619355,34
06001,HEMATOLOGY/ONCOLOGY,8.705766486554031,2.4458047389619355,26
06001,NEUROLOGY,10.626569496961544,2.4458047389619355,77
06001,PULMONARY DISEASE,9.520922192053165,2.4458047389619355,22
06001,RHEUMATOLOGY,11.511508959141064,2.4458047389619355,23
06005,HEMATOLOGY/ONCOLOGY,2.4783530084462786,2.4783530084462786,1
06005,NEUROLOGY,2.4783530084462786,2.4783530084462786,2
06005,PSYCHIATRY,2.4782957287417333,2.4782957287417333,2
06005,PULMONARY DISEASE,2.4783530084462786,2.4783530084462786,1
06007,CARDIOVASCULAR DISEASE (CARDIOLOGY),8.603193780976007,8.603193780976007,7
06007,ENDOCRINOLOGY,15.54803565993304,6.5207000072125245,4
06007,HEMATOLOGY/ONCOLOGY,13.143933065821804,8.603193780976007,6
06007,NEUROLOGY,12.413505558163388,8.603193780976007,6
06007,PSYCHIATRY,11.234049130068193,6.5207000072125245,16
06007,PULMONARY DISEASE,20.034129112538153,17.842846589562907,2
06007,RHEUMATOLOGY,9.911906571234425,8.603193780976007,2
06009,PSYCHIATRY,0.0,0.0,1
06011,PSYCHIATRY,0.0,0.0,2
06013,CARDIOVASCULAR DISEASE (CARDIOLOGY),7.705504058258751,1.6256818564722653,51
06013,ENDOCRINOLOGY,9.316160070722004,1.9062167012473723,24
06013,HEMATOLOGY/ONCOLOGY,10.274091478246776,1.3944052591912826,39
06013,NEUROLOGY,5.086405795010212,1.3944052591912826,44
06013,PULMONARY DISEASE,5.325941871864794,1.3944052591912826,35
06013,RHEUMATOLOGY,3.7314414789643737,1.3944052591912826,18
06015,PSYCHIATRY,0.0,0.0,2
06017,CARDIOVASCULAR DISEASE (CARDIOLOGY),7.799228738535088,5.093147855477249,9
06017,HEMATOLOGY/ONCOLOGY,15.91312805991005,15.91312805991005,3
06017,NEUROLOGY,5.093147855477249,5.093147855477249,4
06017,PSYCHIATRY,26.334338359064603,5.093147855477249,6
06017,PULMONARY DISEASE,5.093147855477249,5.093147855477249,4
06017,RHEUMATOLOGY,15.91312805991005,15.91312805991005,1
06019,CARDIOVASCULAR DISEASE (CARDIOLOGY),8.159933522202737,1.5292532243661516,31
06019,ENDOCRINOLOGY,8.05108625275004,1.5292532243661516,14
06019,HEMATOLOGY/ONCOLOGY,9.350976315449168,9.131074619103867,14
06019,NEUROLOGY,5.625339590188599,1.5292532243661516,36
06019,PSYCHIATRY,9.5439712052789,1.5292532243661516,61
06019,PULMONARY DISEASE,7.642927530985253,1.5292532243661516,15
06019,RHEUMATOLOGY,8.872853794303962,6.19136244613788,9
06021,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,2
06021,NEUROLOGY,0.0,0.0,1
06021,PSYCHIATRY,0.0,0.0,1
06023,CARDIOVASCULAR DISEASE (CARDIOLOGY),12.510500797338452,10.845993834073385,6
06023,HEMATOLOGY/ONCOLOGY,10.845993834073385,10.845993834073385,4
06023,PSYCHIATRY,11.321004732771526,4.037149230368328,12
06023,PULMONARY DISEASE,14.175007760603519,14.175007760603519,1
06025,CARDIOVASCULAR DISEASE (CARDIOLOGY),6.624310061620164,5.270958528119338,7
06025,ENDOCRINOLOGY,14.097750914598178,14.097750914598178,1
06025,NEUROLOGY,12.208374677546825,10.318998440495474,2
06025,PULMONARY DISEASE,9.684354721358758,5.270958528119338,2
06025,RHEUMATOLOGY,5.270958528119338,5.270958528119338,1
06029,CARDIOVASCULAR DISEASE (CARDIOLOGY),13.587788185025568,3.9806180811984886,28
