ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,REQUIRED_SPECIALTY_Cardiology,REQUIRED_SPECIALTY_Endocrinology,REQUIRED_SPECIALTY_Psychiatry,REQUIRED_SPECIALTY_Pulmonary,REQUIRED_SPECIALTY_Rheumatology
-0.34438332444776854,-0.18905246903872183,-0.06715841736281064,-0.08025007293349613,-0.3319381548091434,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.0888412492132503,-0.18905246903872183,-0.29345223573541257,-0.4846931829011039,0.236093507891561,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.3921439347738025,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
-0.41920009242359835,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
-0.4084969431587634,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
-0.23914153872567018,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
-0.09710548413740974,-0.18905246903872183,-0.3142768202482287,-0.25652922679353946,0.21772335455923253,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.4222180295933551,0.6175713988598247,0.9157619716421107,1.0570820155030407,-0.5132605387624237,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
-0.24126462243230137,0.6175713988598247,1.1337259562095863,1.9368846414977317,-0.3121444120996812,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
0.5769823657911622,2.2308191346569175,3.843698554144059,2.167502899454349,0.03785381181960239,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
0.6114780894873352,0.6175713988598247,-0.04772213848418225,0.014132903437098623,0.6356150910331887,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.3126247995799796,-0.18905246903872183,-0.6419169499165358,-0.6216604492491248,-0.2613437226827856,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
-0.3927755960418911,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-1.162876035755522,-1.1802849814952894,0.0,0.0,1.0,0.0,0.0
-0.3857922298002447,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
